Week,Date,User,Score,Rank,Team %,Cap. Bonus
R1-G2,4-29-25,cteszn,"5,742",497,14.5%,
R1-G2,4-29-25,caustic,"8,196",27,20.7%,
R1-G2,4-29-25,dortch,"6,335",270,16.0%,
R1-G2,4-29-25,mccasual,"4,634",1197,11.7%,
R1-G2,4-29-25,leaf,"5,332",704,13.5%,
R1-G2,4-29-25,Total Score,"41,696",459,Avg Rank,
,,,,,,
R1-G3,4-30-25,swouse,"6,463",16,16.3%,"3,232"
R1-G3,4-30-25,cteszn,"5,501",108,13.9%,
R1-G3,4-30-25,caustic,"5,371",128,13.6%,
R1-G3,4-30-25,dortch,"4,748",235,12.0%,
R1-G3,4-30-25,mccasual,"5,537",105,14.0%,
R1-G3,4-30-25,sweat,"4,905",201,12.4%,
R1-G3,4-30-25,Total Score,"35,757",132,Avg Rank,
