Team,Player,GP,AAG (Median),AAG (Mean),AAG% (Median),AAG% (Mean),REL (Median),REL (Mean),1.1 3/6,1.2 3/7,1.3 3/8,2.1 3/9,2.2 3/10,2.3 3/11,3.1 3/12,3.2 3/13,3.3 3/14,4.1 3/15,4.2 3/16,4.3 3/17,5.1 3/18,5.2 3/19,5.3 3/20,6.1 3/21,6.2 3/22,6.3 3/23,7.1 3/24,7.2 3/25,7.3 3/26,8.1 3/27,8.2 3/28,8.3 3/29,9.1 4/2,9.2 4/3,9.3 4/4,10.1 4/5,10.2 4/6,10.3 4/7,11.1 4/8,11.2 4/9,11.3 4/10,12.1 4/11,12.2 4/12,12.3 4/13,13.1 4/14,13.2 4/15,13.3 4/16,14.1 4/17,14.2 4/18,14.3 4/19,15.1 4/21,15.2 4/22,15.3 4/23
MLB,@dillon,12,7,7,58%,58%,0.986,1.010,,,8321,,,3895,,,8460,,,4441,,,8373,,,8058,,,1919,,,,,,,,4681,,,6030,,,6116,,,5567,,,4656,,,,
MLB,@kane,13,7,11,54%,85%,1.041,1.062,,,,,,5443,,,6486,,,3084,,,8652,,,,,,2056,,,9238,,,5315,,5031,,,6318,,,5850,,,6088,,,5468,,3699,,
MLB,@marner (MLB),5,2,2,40%,40%,1.006,1.028,,,,,,4193,,,9560,,,2499,,,8998,,,6903,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,@maxp (MLB),6,1,2,17%,33%,0.982,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,6013,,3496,,,4787,,,5801,,,5442,,,4575,,,,
MLB,@richer,7,0,0,0%,0%,0.677,0.695,,,,,,,,,6068,,,,,,,,,,,,,,,7871,,,2691,,,,,3989,,,3835,,,,,,2756,,546,,
MLB,@sossboy_,7,1,1,14%,14%,0.639,0.655,,,6757,,,1439,,,4697,,,,,,,,,,,,,,,6408,,,,,289,,,,,,,,,6620,,,,,2459,,
MLB,@ukator,8,2,2,25%,25%,0.762,0.776,,,2882,,,5586,,,,,,2839,,,8473,,,5822,,,1436,,,,,,,,,,,,,,,,,4788,,,,,3897,,
MLB,@zooch5,2,0,0,0%,0%,0.839,0.861,,,9950,,,,,,,,,,,,,,,5442,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravediggers,@anonymoususer,7,2,3,29%,43%,0.682,0.706,,,10460,,,2117,,3432,,,,,,,,,4733,,,,,1111,,,,,,,,,,,,,,,2782,,,,,,5160,,
Gravediggers,@arthurmorgan,14,11,11,79%,79%,1.154,1.190,,,12551,,,8062,,9434,,,5824,,,6407,,,6403,,,3148,,9876,,,6658,,,6427,,,6803,,,4125,,,2000,,,3233,,,,,
Gravediggers,@aunt (Gravediggers),1,1,1,100%,100%,1.117,1.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568,,,,,
Gravediggers,@cry,15,11,13,73%,87%,1.091,1.126,,,11633,,,5251,,8272,,,4011,,,6198,,,5382,,,2904,,8551,,,7445,,,7241,,,6911,,,5429,,,2746,,,3745,,,4371,,
Gravediggers,@davidv03,9,7,6,78%,67%,1.034,1.052,,,8194,,,4959,,,,,4348,,,,,,7091,,,3268,,,,,6645,,,6261,,,,,,5650,,,,,,,,,4467,,
Gravediggers,@derrickwhitetop5,6,3,4,50%,67%,0.889,0.926,,,,,,5905,,,,,4354,,,4154,,,,,,,,4983,,,,,,,,,6249,,,,,,2653,,,,,,,,
Gravediggers,@justinjefferson,3,2,2,67%,67%,1.071,1.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,7454,,,,,,4070,,,,,,,,,4626,,
Gravediggers,@kevin,9,6,7,67%,78%,1.060,1.093,,,10638,,,,,6448,,,5275,,,5001,,,8014,,,,,9847,,,4255,,,7745,,,,,,,,,,,,3538,,,,,
Gravediggers,@_ln4_,5,4,5,80%,100%,1.115,1.157,,,,,,5154,,,,,,,,,,,,,,4070,,,,,,,,,,,6763,,,5098,,,,,,,,,4207,,
Gravediggers,@markjackson,8,3,4,38%,50%,0.954,0.987,,,9858,,,,,3707,,,,,,3866,,,,,,2495,,,,,7289,,,,,,8008,,,,,,2565,,,3855,,,,,
