Team,Player,GP,AAG (Median),AAG (Mean),AAG% (Median),AAG% (Mean),REL (Median),REL (Mean),1.1 3/6,1.2 3/7,1.3 3/8,2.1 3/9,2.2 3/10,2.3 3/11,3.1 3/12,3.2 3/13,3.3 3/14,4.1 3/15,4.2 3/16,4.3 3/17,5.1 3/18,5.2 3/19,5.3 3/20,6.1 3/21,6.2 3/22,6.3 3/23,7.1 3/24,7.2 3/25,7.3 3/26,8.1 3/27,8.2 3/28,8.3 3/29,9.1 4/2,9.2 4/3,9.3 4/4,10.1 4/5,10.2 4/6,10.3 4/7,11.1 4/8,11.2 4/9,11.3 4/10,12.1 4/11,12.2 4/12,12.3 4/13,13.1 4/14,13.2 4/15,13.3 4/16,14.1 4/17,14.2 4/18,14.3 4/19,15.1 4/21,15.2 4/22,15.3 4/23
Fellas,@xxyn (Fellas),2,1,1,50%,50%,0.926,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,3518,,,4208,,,,,,,,,,,,,,,,
Fellas,@yankees.hub (Fellas),4,1,1,25%,25%,0.694,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,5582,,,,,,2242,,,1626,,
Amigos,@aprilfoolsbday,7,1,1,14%,14%,0.689,0.715,,,11030,,,,,,,,,2965,,,5025,,4254,,,469,,,4491,,,,,,1063,,,,,,,,,,,,,,,,
Amigos,@ballingpm (Amigos),2,1,1,50%,50%,0.953,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7716,,,3172,,,,,,,,,,,
Amigos,@bamry,5,3,4,60%,80%,0.980,1.003,,,8597,,,5678,,,7761,,,3407,,,8763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amigos,@bengalsw (Amigos),7,4,4,57%,57%,1.047,1.094,,,,,,,,,,,,,,,,,,,,,,,,,,4410,,,4432,,8093,,,5955,,,2254,,,2168,,,3387,,
Amigos,@duke (Amigos),6,1,1,17%,17%,0.406,0.418,,,11031,,,3409,,,450,,,,,,,,420,,,22,,,370,,,,,,,,,,,,,,,,,,,,,,
Amigos,@flock.ravens (Amigos),2,2,2,100%,100%,1.039,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,4208,,,4459,,,,,,,,,,,,,,,,
Amigos,@josh_0310,6,3,3,50%,50%,0.966,1.014,,,,,,,,,,,,,,,,,6488,,,2594,,,6907,,,4033,,,4896,,4898,,,,,,,,,,,,,,
Amigos,@lxst (@money/@corum) (Amigos),4,3,3,75%,75%,0.895,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005,,,2921,,,4581,,,200,,
Amigos,@noir,9,3,4,33%,44%,0.938,0.969,,,9526,,,3455,,,8676,,,2510,,,7667,,,,,,,,,,,,,,,,6789,,,,,,2475,,,3303,,,3634,,
Amigos,@norrispaul13 (Amigos),11,10,10,91%,91%,1.166,1.215,,,,,,,,,,,,,,,9549,,5660,,,3898,,,6873,,,5713,,,4739,,8420,,,5735,,,3794,,,4072,,,4421,,
Amigos,@okorolover355 (@iouisss) (Amigos),4,2,3,50%,75%,0.955,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517,,,2582,,,2642,,,3828,,
Amigos,@palmingo,5,1,1,20%,20%,0.574,0.596,,,,,,,,,,,,,,,,,4033,,,1654,,,2903,,,683,,,4555,,,,,,,,,,,,,,,,
Amigos,@pat (@paterik) (Amigos),5,1,1,20%,20%,0.724,0.741,,,11621,,,3553,,,50,,,2355,,,7687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amigos,@sink (Amigos),3,2,2,67%,67%,1.216,1.236,,,,,,7128,,,8966,,,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amigos,@ted (@nind0),14,7,8,50%,57%,1.002,1.036,,,11423,,,4069,,,7768,,,3027,,,8141,,6765,,,2576,,,6437,,,4328,,,,,7867,,,3863,,,2691,,,3123,,,3880,,
Traded,@arttheclown_ (All),16,14,14,88%,88%,1.080,1.092,7050,,,9484,,,6335,,,7521,,3412,,,10208,,,8314,,,2203,,,8523,,,5864,,,6603,,,4508,,,6350,,5806,,,5525,,,10259,
Traded,@ballingpm (All),7,3,3,43%,43%,0.865,0.893,,,7703,,,2969,,,,,,,,,,,,8228,,3285,,,4765,,,,,,,,7716,,,3172,,,,,,,,,,,
Traded,@bengalsw (All),10,5,5,50%,50%,0.918,0.956,,,,,,,,,,,,3171,,2151,,,,,,,,,4274,,,4410,,,4432,,8093,,,5955,,,2254,,,2168,,,3387,,
Traded,@bg_15 (@adames) (All),8,1,1,13%,13%,0.886,0.897,,6036,,,,,,,,,4113,2256,,,,,,,,,2629,,,6715,,,,,,,,,,,,,,4355,,,3914,,,9630,
Traded,@bigsnook (All),15,8,9,53%,60%,1.022,1.053,,,8828,,,3879,,,10499,,,3144,,5267,,7871,,,4244,,,10444,,,5161,,,,4492,,,4141,,,6910,,,6201,,,4996,,,,5763
Traded,@bmannn (All),7,4,5,57%,71%,1.037,1.063,,,11320,,5766,,,6784,,,,,,4560,,,6680,,4448,,4021,,,,,,,,,,,,,,,,,,,,,,,,
Traded,@bshumer1 (All),4,0,0,0%,0%,0.782,0.787,,,,,,,,,,,3920,,,3761,,,,,,,1935,,,,,3035,,,,,,,,,,,,,,,,,,,
Traded,@burning (All),8,0,0,0%,0%,0.721,0.736,,,,,,,,,,,,964,,3062,,,4793,,,2141,,,4765,,,2619,,6063,,,,,,,,,,,,,4154,,,,
Traded,@cadewave (@ashton) (All),13,7,7,54%,54%,1.028,1.053,,,10877,,,4887,,,9166,,,3775,,,8462,,,8322,,4295,,,6088,,,3519,,,,,,4983,,,6298,,,,,,,6925,,,6139
Traded,@cartercrash (All),10,6,6,60%,60%,0.996,1.027,,,8589,,,,,,8077,,,3088,,,9597,,,,,,,,5800,,,3388,,,3893,,,,,,6173,,,6718,,4265,,,,,
Traded,@chltown (All),10,2,2,20%,20%,0.822,0.850,,,,,,6008,,,4954,,,,6882,,,7217,,,3993,,,2917,,,4785,,,,3780,,,3943,,,5431,,,,,,,,,,
Traded,@coby (All),14,10,10,71%,71%,1.061,1.077,,6297,,,,,6933,,,10262,,,7162,,,7121,,,5802,,,8657,,,,,5685,,,7449,,,4867,,,6282,,,3327,,,5980,,,5667
Traded,@cyl (All),9,6,6,67%,67%,0.906,0.945,,,9461,,,,,,,,,,,,,,,,,,,8797,,,5815,,,6632,,,1031,,,4742,,,2712,,,3441,,,4723,,
Traded,@dariusgarland (@dortch) (All),12,3,4,25%,33%,0.899,0.914,,,10767,,,4056,,,8931,,,2467,,,9319,,,4834,,2839,,,4835,,,,3881,,,,,,3829,,,,,,2280,,,6642,,,
Traded,@darwin (@senga) (All),2,0,0,0%,0%,0.868,0.886,,,,7270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4874
Traded,@dawgsnation (All),6,3,3,50%,50%,0.997,1.019,,,,,,,,,,10179,,,,,,7714,,,,3434,,,5233,,,,,,4058,,,,,,,,,,,2457,,,,,
Traded,@deshaun4prison (All),12,7,9,58%,75%,1.061,1.095,6460,,,8459,,,,7249,,,,,,,,,,,4425,,,9470,,,5347,,,7474,,,8043,,,5960,,,,5016,,,4279,,,10591,
Traded,@devonta (All),14,7,8,50%,57%,1.008,1.039,7985,,,6797,,,6283,,,8275,,,6651,,,,,,,3209,,9138,,,,4165,,,4295,,,5441,,4335,,,3307,,,2792,,,3090,,
Traded,@dracula (@draculas) (All),10,1,2,10%,20%,0.867,0.874,,,,5061,,,5561,,,7312,,,6927,,,5637,,6586,,,2610,,,7949,,,3616,,,5914,,,,,,,,,,,,,,,
Traded,@dugz (All),12,11,11,92%,92%,1.102,1.136,,,12886,,,5798,,,7951,,,3409,,,8218,,,8160,,3337,,,6985,,,,,,4384,,,,,,6569,,,,,4069,,,4352,,
Traded,@duke (All),7,1,1,14%,14%,0.448,0.461,,,11031,,,3409,,,450,,,,,,,,420,,,22,,,370,,,,,,,,,4101,,,,,,,,,,,,,
Traded,@ejwise (All),9,6,6,67%,67%,1.115,1.126,,,10147,,,4361,,,,11538,,,,7211,,,4949,,,,,,,,,5800,,,,6475,,,4649,,,,,,4328,,,,,,
Traded,@flock.ravens (All),10,6,6,60%,60%,1.027,1.051,,,,,,,,6990,,,3499,,,5638,,,,,,,,,,,,4208,,,4459,,,5293,,,6348,,,6451,,,4884,,,,6911
Traded,@floyd (All),4,2,2,50%,50%,0.912,0.946,,,,,,,,,6156,,,4061,,,,,,,,3677,,,,,,,,,,,,,,,,,976,,,,,,,,
Traded,@frylock (All),5,0,0,0%,0%,0.736,0.758,,5256,,,,3308,,,,,,2370,,,6152,,,,,,,6004,,,,,,,,,,,,,,,,,,,,,,,
Traded,@fun (All),11,6,8,55%,73%,1.010,1.031,6865,,,,,,,9069,,,2559,,,,,,,,,,2896,,,8997,,3442,,,3941,,,5525,,3803,,,3247,,,3792,,,,,
Traded,@gradyt06 (All),4,2,3,50%,75%,1.040,1.063,,,,,,4245,,,8461,,,,,,9789,,,7530,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traded,@hoosier (All),7,2,3,29%,43%,0.749,0.777,,,,,,,,,,,,,,,,,,,,,,1973,,,3884,,,5999,,,,5789,,,5764,,,,4112,,,,,,4221
Traded,@j417 (All),11,1,1,9%,9%,0.791,0.818,,,,7344,,,,,5544,,,2988,,4984,,,5660,,,1737,,,4888,,,3143,,5181,,,4394,,,,,,,,,,,,1990,,
Traded,@joshminottenjoyer (All),12,5,5,42%,42%,0.949,0.969,,,9700,,,3148,,,,,,4051,,,9062,,,6924,,,2185,,,,,4278,,,5520,,,4709,,,,,3004,,,2411,,,2948,,
Traded,@justakidfromakron23 (All),14,0,0,0%,0%,0.818,0.838,,5970,,,,4389,,,5693,,,2410,,,6391,,,6958,,,,,,6486,3653,,,5793,,,4757,,,4342,,,2288,,,2573,,,3437,,
Traded,@khys9575 (All),14,8,8,57%,57%,1.015,1.042,,6884,,,4659,,,6722,,,3212,,,4510,,8818,,,4560,,,9948,,,,4242,,,3859,,,4768,,5447,,,2997,,,4068,,,,,
Traded,@knightnate12 (All),14,4,6,29%,43%,0.943,0.967,,,10524,,,,,6343,,,5145,,,4368,,,5022,,3664,,,8334,,,,,4337,,,7253,,,5133,,5017,,,3978,,,5155,,,7882,
Traded,@longganisa (@rich.brian) (All),15,8,10,53%,67%,1.035,1.058,,7180,,,6249,,5879,,,9536,,,7462,,,6780,,,4545,,,10049,,,,3519,,,3607,,,5860,,,5826,,,5001,,,,7911,,,7016
Traded,@lxst (@money/@corum) (All),9,4,4,44%,44%,0.905,0.922,5466,,,5415,,,,,,,4190,,,,,,8194,,,,,,,,,,3401,,,,,,,5005,,,2921,,,4581,,,200,,
Traded,@mario (All),14,10,10,71%,71%,1.022,1.035,6986,,,6696,,,6713,,,8911,,,,5534,,,,8667,,,2741,,,7114,,,,,,6512,,,4767,,,6164,,,3745,,,6668,,,6931
Traded,@marner (All),14,7,8,50%,57%,1.008,1.038,,,,,,4193,,,9560,,,2499,,,8998,,,6903,4879,,,8976,,,,4485,,,4059,,,6530,,,6071,,,5212,,,,7306,,,5262
Traded,@mars_vibezz (All),9,3,3,33%,33%,0.946,0.971,4936,,,6343,,,5530,,,,,,,,,,,,4925,,,,7238,,,,,,5647,,,,,,,,2316,,,2453,,,3247,,
Traded,@masdog2222 (All),12,11,11,92%,92%,1.112,1.131,,,,,6223,,,8894,,,2433,,,6313,,,7429,,,,,,,,,5333,,,5165,,,,4662,,,6023,,,4227,,,8154,,,6601
Traded,@maxp (All),13,6,6,46%,46%,1.016,1.038,,,9901,,,4570,,,8286,,5040,,,5415,,,7798,,,2142,,,,,,,6013,,3496,,,4787,,,5801,,,5442,,,4575,,,,
Traded,@member98674 (@erndog) (All),13,6,7,46%,54%,1.037,1.060,5922,,,10572,,,5649,,,6756,,,5870,,,8337,,,,,,,6325,,,,,9360,,,5427,,,4970,,,2464,,,4034,,,4510,,
Traded,@mlbelite (All),9,0,1,0%,11%,0.808,0.830,,,9842,,,2665,,,6746,,,1248,,,7859,,,5080,,1975,,,5573,,,,,,,,,,,,,,,,,,,,,,6162
Traded,@morel (All),12,5,5,42%,42%,1.011,1.031,6988,,,7311,,,5950,,,10455,,,7241,,,7008,,,4172,,,9003,,,,,,,,,,,3654,,,,,,3248,,,7289,,,6794
Traded,@mpls (All),10,4,6,40%,60%,0.914,0.929,6592,,,7865,,,4952,,,,,,6708,,,8007,,,4493,,,,,,4909,,,,,,,,,,,,,3774,,,2227,,,9380,
Traded,@murray (All),5,1,2,20%,40%,0.893,0.935,,,8786,,6007,,,,,,,,,,,,,,,,,7935,,,,,,,2873,,,,,,,,,,,,,,,,6045
Traded,@nael_abuasi (All),9,1,1,11%,11%,0.772,0.790,4643,,,,,,6911,,,7614,,,,,,,5633,,,-35,,,,,,,,,,,,,,3998,,,2436,,,2829,,,536,,
Traded,@ngasilver (@silver) (All),5,0,0,0%,0%,0.515,0.530,,,,4528,,,5214,,,,,,,,,,,,,,,,,,,,,,,,1446,,,2096,,,999,,,,,,,,
Traded,@norrispaul13 (All),15,11,11,73%,73%,1.106,1.141,,7656,,,5350,,,6303,,,3310,,,,9549,,5660,,,3898,,,6873,,,5713,,,4739,,8420,,,5735,,,3794,,,4072,,,4421,,
Traded,@okorolover355 (@iouisss) (All),14,5,6,36%,43%,0.879,0.907,,,8759,,5226,,,4810,,,2216,,6927,,,7946,,,4984,,,7829,,,4239,,,,2917,,,,,4517,,,2582,,,2642,,,3828,,
Traded,@palmer (All),8,2,2,25%,25%,0.917,0.925,,,,,,,4630,,,,,2919,,3942,,,,,,,,,6010,,,5025,,7701,,,,,,,,,,5453,,,,5052,,,
Traded,@pat (@paterik) (All),11,5,6,45%,55%,0.879,0.897,,,11621,,,3553,,,50,,,2355,,,7687,,,,,,,,,,4470,,,6956,,,,5943,,,6288,,,5495,,,6233,,,,
Traded,@realnuggets (All),7,1,1,14%,14%,0.688,0.698,,,,,,3801,,,,,,,,,,,,,,,,,,,,3128,,7524,,,5522,,,2417,,,10,,,0,,,,,
Traded,@relaxedp (All),11,5,6,45%,55%,1.034,1.071,,,9738,,,3647,,,9436,,,,,,10323,,,,3995,,,9373,,,4784,,,,4544,,,7251,,,5713,,,5192,,,,,,,
Traded,@rzk__ (@rzk) (All),15,10,11,67%,73%,1.100,1.129,,6781,,,6700,,,8783,,,4740,,5557,,,7254,,,5333,,,8276,,,4418,,,8436,,,7976,,,5688,,,2417,,,,6960,,,11015,
Traded,@sammy (@sammybammy) (All),7,2,2,29%,29%,0.818,0.831,,,,,,,,,,,,,,,,,,,,,,,4890,,,,3616,,,4993,,,3978,,-192,,,5537,,,,,,11493,
Traded,@sasser (All),9,2,2,22%,22%,0.898,0.920,,,,,5213,,,7821,,,5487,,,4164,,,,,3170,,,,,,,,,,,,,4637,,3474,,,2220,,,,,,2654,,
Traded,@shot (All),9,3,3,33%,33%,0.880,0.902,,5249,,,,3159,,,7295,,,,,3555,,,6416,,,2977,,,6792,,,,,,,,,,,,,3965,,,3454,,,,,,
Traded,@sink (All),13,6,6,46%,46%,0.964,0.988,,,,,,7128,,,8966,,,2619,7384,,,,5252,,,2955,,,6850,,,3971,,,2639,,,,4691,,,3725,,,3651,,,,,,3825
Traded,@tatum (All),3,0,0,0%,0%,0.798,0.822,,,,,,,,,,,,,5107,,,,,,,,,,,,,,,,,,,5094,,,,,1507,,,,,,,,
Traded,@toasty (All),10,0,0,0%,0%,0.864,0.878,,,,,,4564,,,6270,,,2036,,,,,,,,,,,,,,,4186,,,4377,,4729,,,5495,,,5161,,,4058,,,,5922
Traded,@trevq3 (All),5,0,0,0%,0%,0.879,0.911,,5999,,,5335,,,,,,,,,,,,,,,,,,,,4843,,,,,,5117,,,3904,,,,,,,,,,,
Traded,@tw0 (@kyriereact) (All),15,13,13,87%,87%,1.180,1.219,,,11394,,,4384,,6530,,,6682,,,6728,,,7179,,,3039,,10528,,,6609,,,8021,,,7725,,,6663,,,3430,,,3873,,,4693,,
Traded,@tylrr (All),11,1,1,9%,9%,0.822,0.841,5456,,,6012,,,,,,,,,,,,,4788,,,3072,,,5736,,,4142,,5933,,,,,,4161,,,1991,,,1899,,,1954,,
Traded,@xxyn (All),8,3,5,38%,63%,0.960,0.982,,,,,,,,,,,,,,,,,,7689,,,1810,,,8197,,3518,,,4208,,,,,,,,2733,,,3358,,,3772,,
Traded,@yankees.hub (All),6,1,1,17%,17%,0.619,0.646,,,,,,,,,,,,,,,,,2734,,,1785,,,,,,,,,1515,,,,,5582,,,,,,2242,,,1626,,
